S.No.,Jokes
1,extremely suspicious that there's no information about brains that didn't come from a brain
2,Trump bragged about Apprentice ratings at National Prayer Breakfast, just like when Jesus boasted about his huge Sermon on the Mount crowds.
3,Once I did a presentation on George Washington & was asked when he died, but I never looked it up, so I said "He's alive in all of us today"
4,Tonight I saw a truck spin out in a snowy McDonalds parking lot, and honestly it was doing a much better job of being president.
5,I don't understand Fox and Friends. No one on the show is named Fox. Are they friends with a TV channel?
6,Everyone is a genius until they try to use their friend's microwave.
7,I saw someone use "Terrierist" instead of "Terrorist" and I don't know whether I should be afraid of my dogs or not.
8,My girlfriend wants to be in a long distance relationship, according to this restraining order.
9,Can someone get Trump a thesaurus, I can't listen to the same 23 words every day
10,Call me old-fashioned, but marriage should be about a man aligning forces with a trusted ally to consolidate power & destroy common enemies
11,New acronym we need: IDOCHBEI "I'm doing okay considering how bad everything is." Pronounced: "ih-DOCK-bay"
12,my boss is asking how I'm feeling today how do I explain that I've done about 20 grams of animal tranquilizer within 5 days
13,My favorite Bible story is when Jesus feeds the multitudes after administering a drug test to make sure they deserve food.
14,I can't believe Trump just issued an executive order changing Dora the Explorer to "Doreen the Submissive Housewife"
15,If a woman puts me in the friend zone I immediately borrow money from her and never pay it back because that's what friends do.
16,I only learned Roman numerals so I can be damn sure which Rocky I'm about to watch.
17,My 9 day old baby keeps chanting "put the means of production in the hands of the workers"
18,Making dinner in a slow cooker involves two of my favorite things: food and panicking that I've left an appliance on for seven hours.
19,just ordered so much food the delivery guy gave me four sets of utensils but it's okay I still love myself
20,Remember when Twitter used to be a service where I could post something like, "Hello, my name is Doctor Toilet" and get a bunch of retweets?
21,"At least 2017 can't be any worse than 2016" Narrator: "This is the most incorrect anyone has ever been"
22,Wow, busy day for Donald Trump. Tomorrow he'll probably ban dogs from homes, end Star Wars, put spiders in every shower and outlaw dreaming.
23,Can't sleep because I'm afraid I'm going to miss the apocalypse.
24,Who ever taught Storm Troopers how to shoot also must have taught white golfers how to high five each other.
25,they say each cigarette you smoke takes 7-11 minutes off your life, last year i smoked 11,000 i dont look a day younger
26,Its official. Donald trump is the 45th greatest president of the united states.
27,in kindergarden i pooped my pants and got insanely mad when another kid asked me about it, and that's also the president's PR strategy
28,Sean Spicer getting very upset with the media for not reporting that Trump put up a 28/13/11 triple double against the Rockets yesterday.
29,Just saw a kid with a protest sign that said "I AM VERY GOOD AT KARATE" and I'll regret for the rest of my life that I didn't get a picture
30,im leavin the united states now that trump is president i am packing my bags and moving to alaska i don't wanna live in this country anymore
31,When I start to panic about the Trump presidency I remember that we are on a rock floating around a fireball and I panic about that instead.
32,Whisper "whey protein" into a mirror three times if you want a straight white man to come out of it and talk at you
33,Hmm. Every fortune cookie I've opened in the past six months says "you will die screaming." Weird.
34,In many ways Trump presidency is like one of your stupider Adam Sandler movies. Basically stupid, but sometimes funny. Ridiculous premise.
35,Contrary to popular belief, the most common use for electrical tape is to cover up goth nipples.
36,It's not believable when Billy Bob Thornton isn't an alcoholic in a movie.
37,*Opens a window and the wind blows 84 hamburger wrappers from my desk.* "Oh no! My research!!"
38,Do you think when the Hamburglar robs people he holds them at bun point?
39,I'm excited to announce that I've officially stopped using drugs for fun and solely use them to deal with the unrelenting pain of existence!
40,Instagram banned me for life cuz I kept commenting "but are you happy?" on everyone's pictures.
41,All of my gaming / network usernames are based on things I thought were funny at 19, and that is my greatest shame.
42,start out every morning with positive thoughts then put them in a pile and light them on fire to speed shit up
43,I paid $22 to connect to the internet from an airplane flying over the pacific so you guys better provide some worthwhile content
44,I'd do well in a zombie apocalypse because I'm near sighted, get cramps if I don't get enough potassium and my only skill is googling things
45,I'm not sure Donald Trump is qualified to sit in an exit row on a plane
46,Any day now Trump and Pence are going to pull off their masks and reveal that they're Kang and Kodos from The Simpsons
47,I just paid $4,000 to have a skywriter write "Actually, Vanessa, YOU'RE the one who's being 'dramatic'."
48,Going from Obama to Trump is like going to a nice restaurant but it's full so u leave and have to eat an old ketchup packet from ur car
49,NO. Absolutely not. I do not want to see your stupid cat video I've seen a billion cat vid-yeah ok let me see
50,i have learned nothing from everything and will continue to do so with zero responsibility and consequences
51,Celebrities are just like everyone else, they shouldn't be allowed to speak about politics unless they're saying something I agree with.
52,"nooooooo!!!" - 20 yr old me seeing how much weed 35 yr old me brushes onto the floor to get ready for company
53,I'm so out of it I just asked my dog to hand me something. To be fair, he gave me the same blank stare my kids would have.
54,Why would you ever "brave" the cold when you can "complain about" it?
55,Sorry about my two week Twitter hiatus, I was trying to find the end of the plastic wrap.
